cluster,Mobilidade_Index,Segurança_Index,Serviços_Index,Espaços Verdes_Index,Higiene Urbana_Index,Crescimento_Index,Postal Code
2.0,0.2857142857142857,0.5,0.2,0.75,0.5,0.0,1300-477
9.0,1.0,1.0,0.2,0.75,0.8333333333333334,0.5,1400-117
15.0,0.5238095238095238,0.9027777777777778,0.5666666666666668,0.8333333333333334,0.7222222222222223,0.5,"1300-281,1300-279,1300-367"
22.0,0.625,1.0,0.3,1.0,0.75,0.5,1200-826
24.0,0.75,0.625,0.6666666666666667,1.0,0.5,0.5,1350-214
25.0,0.6607142857142857,0.6875,0.6833333333333333,0.5,0.5,0.75,"1250-242,1250-240"
27.0,0.468452380952381,0.7458333333333333,0.7,0.675,0.55,0.45,"1250-087,1250-015,1350-269,1250-018,1350-140,1250-225,1250-001,1350-036,1250-152"
28.0,0.6696428571428571,0.8541666666666666,0.2625,0.5,0.4375,0.5,"1900-223,1900-172,1900-267,1900-018"
35.0,0.375,0.5,0.8666666666666666,1.0,1.0,0.5,1700-256
36.0,0.730952380952381,0.75,0.7933333333333333,0.85,0.8166666666666668,0.4,"1700-175,1700-172,1700-165,1000-195,1700-212"
38.0,0.5833333333333333,0.71875,0.80625,0.9375,0.75,0.625,"1700-077,1700-076"
40.0,0.75,0.5,0.7,0.875,0.375,0.25,"1700-344,1700-348"
45.0,0.8333333333333333,1.0,0.4625,0.75,0.7916666666666667,1.0,"1750-063,1750-065"
46.0,0.7976190476190476,0.6666666666666666,0.20000000000000004,0.9166666666666666,0.8055555555555555,1.0,"1750-220,1750-440"
49.0,0.7142857142857143,0.8333333333333334,0.5,1.0,0.5,0.0,1750-232
50.0,0.8571428571428571,1.0,0.2,0.75,0.75,0.5,1750-031
56.0,0.8154761904761906,0.625,0.30000000000000004,0.8333333333333334,0.75,1.0,"1750-456,1750-246"
60.0,0.375,0.75,0.6,1.0,0.6666666666666666,1.0,1050-048
61.0,0.625,0.5,1.0,1.0,0.5,0.5,1700-304
62.0,0.5,1.0,0.5,1.0,0.8333333333333334,1.0,1700-011
63.0,0.8928571428571428,0.8125,0.2125,0.5,0.75,0.5,"1600-013,1600-075"
66.0,0.5833333333333333,0.75,0.3125,0.375,0.5,0.25,"1600-095,1600-077"
70.0,0.75,0.5,0.6666666666666667,0.75,0.0,0.5,1990-100
71.0,0.25,0.5,1.0,0.75,0.0,0.5,1700-330
73.0,0.5714285714285714,0.5,0.25,1.0,0.75,1.0,1600-210
82.0,0.5,0.875,0.2,1.0,1.0,0.5,1900-311
99.0,0.5,1.0,0.7833333333333334,0.625,0.75,0.5,"1350-255,1350-211"
111.0,0.75,1.0,0.7,0.25,0.5,0.5,1400-119
114.0,0.625,0.6805555555555555,0.5333333333333333,0.6666666666666666,0.7777777777777777,0.3333333333333333,"1500-048,1500-417,1500-442"
116.0,0.6964285714285714,1.0,0.48333333333333334,0.25,1.0,0.5,"1500-064,1500-066"
121.0,0.7857142857142857,0.625,0.8666666666666666,0.75,0.6666666666666666,0.0,1500-020
123.0,0.75,0.75,0.7083333333333334,1.0,0.3333333333333333,0.5,1500-002
125.0,0.25,0.8333333333333334,0.16666666666666666,0.5,0.5,0.5,1500-017
126.0,0.875,0.5,0.5666666666666667,0.5,0.6666666666666666,0.5,1500-185
127.0,0.5555555555555555,0.8333333333333334,0.6083333333333333,0.6666666666666666,0.8055555555555555,0.3333333333333333,"1500-590,1500-047,1500-135"
137.0,0.625,0.8333333333333334,0.375,0.75,0.3333333333333333,0.5,1600-175
